Model,Color,Angle,Master_L,Master_A,Master_B,L_From,L_To,A_From,A_To,B_From,B_To,Part,Actual_L,Actual_A,Actual_B,AI_Judgement,Validation_Warning,Reason
T11S,NH 904 M-METEOROID GRAY,25°,32.926,-2.2039999999999997,-5.404,30.536,35.316,-3.1039999999999996,-1.3039999999999998,-6.304,-4.504,Part 1,32.06,-2.44,4.6,Fail,Possible B sign mismatch,B out of range
T11S,NH 904 M-METEOROID GRAY,25°,32.926,-2.2039999999999997,-5.404,30.536,35.316,-3.1039999999999996,-1.3039999999999998,-6.304,-4.504,Part 2,32.53,-2.29,-4.7,Pass,Normal,All values within range
T11S,NH 904 M-METEOROID GRAY,25°,32.926,-2.2039999999999997,-5.404,30.536,35.316,-3.1039999999999996,-1.3039999999999998,-6.304,-4.504,Part 3,32.79,-2.35,-4.58,Pass,Normal,All values within range
T11S,NH 904 M-METEOROID GRAY,45°,12.912,-1.014,-2.634,11.412,14.412,-1.9140000000000001,-0.11399999999999999,-3.534,-1.734,Part 1,11.14,-0.78,-3.08,Fail,Normal,L out of range
T11S,NH 904 M-METEOROID GRAY,45°,12.912,-1.014,-2.634,11.412,14.412,-1.9140000000000001,-0.11399999999999999,-3.534,-1.734,Part 2,11.41,-0.81,-2.95,Fail,Normal,L out of range
T11S,NH 904 M-METEOROID GRAY,45°,12.912,-1.014,-2.634,11.412,14.412,-1.9140000000000001,-0.11399999999999999,-3.534,-1.734,Part 3,11.11,-0.77,-3.02,Fail,Normal,L out of range
T11S,NH 904 M-METEOROID GRAY,75°,5.644,-0.238,-0.572,4.144,7.144,-1.138,0.662,-1.472,0.32800000000000007,Part 1,4.58,0.04,-1.17,Pass,Possible A sign mismatch,All values within range
T11S,NH 904 M-METEOROID GRAY,75°,5.644,-0.238,-0.572,4.144,7.144,-1.138,0.662,-1.472,0.32800000000000007,Part 2,4.74,0.02,-1.2,Pass,Possible A sign mismatch,All values within range
T11S,NH 904 M-METEOROID GRAY,75°,5.644,-0.238,-0.572,4.144,7.144,-1.138,0.662,-1.472,0.32800000000000007,Part 3,4.61,0.06,-1.29,Pass,Possible A sign mismatch,All values within range
T11S,NH 883P PLATINUM WHITE,25°,89.15,-1.92,1.13,86.48,91.82000000000001,-2.37,-1.47,0.22999999999999987,2.03,Part 1,90.29,-1.85,0.83,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,25°,89.15,-1.92,1.13,86.48,91.82000000000001,-2.37,-1.47,0.22999999999999987,2.03,Part 2,89.96,-1.89,0.95,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,25°,89.15,-1.92,1.13,86.48,91.82000000000001,-2.37,-1.47,0.22999999999999987,2.03,Part 3,90.65,-1.89,0.65,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,45°,82.69,-1.51,2.92,80.21,85.17,-1.96,-1.06,2.02,3.82,Part 1,83.72,-1.39,2.7,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,45°,82.69,-1.51,2.92,80.21,85.17,-1.96,-1.06,2.02,3.82,Part 2,84.07,-1.5,2.68,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,45°,82.69,-1.51,2.92,80.21,85.17,-1.96,-1.06,2.02,3.82,Part 3,83.62,-1.45,2.51,Pass,Normal,All values within range
T11S,NH 883P PLATINUM WHITE,75°,82.22,-1.34,2.86,79.76,84.67999999999999,-1.79,-0.8900000000000001,1.96,3.76,Part 1,83.17,-1.29,2.27,Pass,Normal,All values within range
